t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.798633147209846,0.4246687862150924,0.23697612323681894,0.27179506196126346,0.5546305225932179,,4.924486130041097,4.621624622523143,4.208346646006957,5.072942716549122,5.440364231238637
1,2025-01-02,0.7357180100913995,0.32910840916197187,0.3107597520469488,0.26044469895970224,,,,4.369618643254354,4.188993408704853,4.255957185763392,4.632320343666756
2,2025-01-03,0.6011522251091259,0.39192590707995234,0.5525796087759954,0.28391651622244635,0.3451816020983179,,,4.66778181944697,3.734574862377311,,4.662400644768367
3,2025-01-04,0.39931199377770465,0.2642425134255927,0.39829027975852443,0.35378985785679634,0.2663909058623826,5.374917199608408,3.6165138174202056,4.557079148903554,,3.2260738912361404,3.7005659259802837
4,2025-01-05,0.30008498769637765,0.10896072439397173,0.40086107451515085,0.4080816102076545,0.2274663344333215,4.187843435759355,3.312007980103119,3.9028692051810427,2.4067927178585995,3.023237910524272,3.98973993916517
5,2025-01-06,0.34103020658006655,0.10039322821742415,0.30706622058325644,0.3617352711779762,0.15916600025870234,3.3891585524069603,2.6923143705858714,,2.4918100720156806,3.971416111984913,3.5331202920241465
6,2025-01-07,0.44320467177979034,0.12625075916917672,0.27428518304427785,0.14288142404454046,0.22909868734123384,,2.9908586237520147,4.207460651571866,2.5787036880241394,3.4287640908086114,4.027521142985534
7,2025-01-08,,0.17042552669016164,0.23660812319626612,0.0,0.17222428156981515,2.764591962858224,2.713183895174732,3.6221728490973693,2.582300165067208,,4.4253678489242
8,2025-01-09,0.22205378864779837,0.21679780625488096,0.23906387750034377,0.07202068664444987,0.23100231107692507,,2.7481104896071282,3.4183272421102524,2.0362317898013744,3.448369876658519,4.02713518436749
9,2025-01-10,0.2441956490139574,0.2799841550220735,0.2913746304944746,0.15240386502400932,0.42900910357515987,,,,,3.4551213697382583,3.2467883538409796
10,2025-01-11,0.21519779212401563,0.25180094572984024,0.43149980333709126,0.06756512290752764,0.4138461174597851,,2.5865130295413326,3.3240804716481276,2.1301872087975893,2.662158112391643,3.466090389729684
11,2025-01-12,,0.23923225076187962,0.46493223190695887,0.07344682210366518,0.35124196689240045,2.1992258513293437,2.2445954342297565,4.074167357066888,2.2131435434357902,3.297740441733465,3.8979742995765587
12,2025-01-13,0.016148601576139093,0.38119454191990765,0.33748172269604804,,0.35533308861579255,2.632930208478049,2.6563140654717925,4.4505937707953604,2.7575898146503484,3.863140170243625,3.973412697871773
13,2025-01-14,,0.44547240876684124,0.38260206554790693,0.041450241612716335,0.405682166724605,2.89145112622769,2.9049722154914783,4.145471321091195,3.0418744641252706,7.2789640443149235,4.4492507279509805
14,2025-01-15,,0.42583491481293695,,0.07810524075710029,0.35686033841307063,2.1338940280345198,3.347851034896829,3.53714983895314,3.5482777857556944,,5.144849270964458
15,2025-01-16,,0.3633984871846059,0.61454418057891,0.0,0.36185364323210467,,3.5024978232538153,2.946433101222363,3.8085236512353093,4.229379888361362,4.631241854438958
16,2025-01-17,0.2609524920126063,0.45726292563172494,0.47969742645224794,,0.4206649380792405,,3.955786016865618,2.9219508128424905,4.253227462250653,,3.5698588460293186
17,2025-01-18,0.21775029200488175,,,0.23998581336805241,0.3824120205380692,,4.175004995848843,3.807539351539887,5.151823439284532,4.990285585481807,3.426560611633368
