t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.5804009290338977,0.44991746646565,0.4199100117808983,0.461430473277333,,,5.403112823908215,4.771552595317119,4.887904520365814,5.323316413014399,3.79400522347103
1,2025-01-02,0.45592614279706806,0.3686668965161599,0.3794977763394911,,0.3309769130895593,5.092694633965881,5.315505934214954,5.26335619282509,3.7084665843148374,,3.1001148841821653
2,2025-01-03,0.4524164195488198,0.10650538983873967,0.41979641922472355,0.43979949691415476,0.3210245185521891,4.224942890544679,5.291699557595106,4.235107376073396,3.782453770080399,4.359750156884654,2.7151841096514873
3,2025-01-04,0.3780094503154993,0.15896579423619223,0.4782118682614718,0.4159607946907351,0.32579343533765015,3.942398143931548,5.7732281148256055,3.6919997522675327,3.513064986775274,3.9477101437562854,
4,2025-01-05,0.21207378229159887,0.3141253587241688,0.4643743811032239,0.32030576291106255,0.40416997250571385,4.620251816641838,5.421893053709366,4.074890282488825,3.6716157669048117,3.639375656084944,
5,2025-01-06,,0.2535963337899413,0.30976286898632843,0.32743897418581897,0.32250495037999327,4.893299598486516,6.221375519289147,4.662541434737559,3.828457660263127,3.85554248679583,4.070770492239383
6,2025-01-07,0.41634789845978665,0.3318729435288923,0.1704301100990268,0.3173668263907305,0.1988744944871249,,5.58502648343216,5.178053376364284,3.5424925263529596,3.941881248639264,3.8647582194006174
7,2025-01-08,0.28386882987476353,0.4209887593600993,0.18224962746548948,0.44657640006621574,0.17722659971230023,4.962951098631097,,,2.585579700640455,4.010044113253415,3.4725810827352372
8,2025-01-09,0.21586192062100062,0.42947068789795845,0.2508158916018194,0.404891452762019,0.2378385360987751,5.6202571190903,5.643377103674599,4.692190231401934,2.719010856576581,,2.795751372245945
9,2025-01-10,0.18381406017738486,0.4042030313272931,0.20841389529971394,0.5499755030332607,0.40239028562195456,5.436472129963631,4.958950302045647,4.382231801830284,2.2023143402394436,2.7107203571142,2.360075320758531
10,2025-01-11,,0.44218102766603645,0.2778921604268342,0.4698283190832845,0.4563963396214994,5.37006352636059,5.203950603983418,3.894952835526527,2.474097692327898,2.9266289735630746,3.6990042712567517
11,2025-01-12,0.12573280616804233,0.3799487758326122,0.33850052034099126,0.4400115797044767,0.4435664754558286,4.948135953349213,4.755245572491548,4.243058071479954,2.6059634436041206,3.012451821961732,3.4954137519468564
12,2025-01-13,0.1771623191256766,0.3290419603825344,0.3891326014965808,0.37826408648800336,0.4449759904943078,4.710923381282855,4.8274619124435585,3.423327390149773,3.135231038128701,3.903882246202514,3.622068521508512
13,2025-01-14,0.3947604217002854,0.23348305347500814,0.4228767673252739,0.37673577866889923,0.5219860783788801,4.582345032818539,4.62482875096523,3.39666103651662,3.9073141971694567,3.7794101641527593,3.6594130969935788
14,2025-01-15,0.35503600483273284,0.17572796765685655,0.343538575532207,0.37582719736906045,0.5936837670879973,3.9147951071499874,4.457597115936492,3.520344765515141,4.2401209451249695,3.776180941055285,3.2410261044137028
15,2025-01-16,0.3648095788669171,0.25172957959354925,,0.332016114324791,0.5331955149554343,4.695225274596231,4.5637229657016185,3.780107090235813,3.5219323949255896,3.855475842633475,3.071850216608546
