t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.7690806708346262,,0.38462070414320515,0.304113465468129,0.5697065154284411,6.06631504226547,5.378148245676804,4.658972078738133,4.291675884163847,5.191824883532658,4.649553648533684
1,2025-01-02,0.7325913717322657,0.49493419321182364,0.41551090399190693,0.23936864788465004,0.4368276990187093,5.044929007973476,5.732810165091901,,3.730015965114749,4.768966531302997,4.833410768688009
2,2025-01-03,0.6698223381506304,0.4562945285378436,0.5596459062160802,0.3687683304575448,0.401554204378549,4.077535524761647,5.1510108205423935,4.057940185727254,3.9168962412250163,4.17889778738955,4.06766358032535
3,2025-01-04,0.6299040786301943,0.4500802407866236,0.576840521805699,0.2611105729910734,0.38830514782086445,3.5795297431685738,4.874541373487784,3.4115551064572447,4.506312064773453,4.163929017691517,3.8091011431539714
4,2025-01-05,0.5280716650654879,0.39974527504967733,0.36547825472811457,0.20521988231632354,0.17321959848037496,,5.612192549775988,3.1724409231978594,4.195402620283471,4.445553016819634,3.9689408351492346
5,2025-01-06,0.34598248573906476,0.4391500064033623,0.3972211467786646,0.1864693623440082,0.07712736505824384,,6.267777389672277,3.5607848812914775,4.746688306537871,4.347040362914711,4.316572142155458
6,2025-01-07,0.3167433847484698,0.49642505679165344,0.3550934576540069,0.1416456821366473,0.13252628652726672,3.575125259181507,5.527403326306668,3.584327567979866,4.896002510636924,4.657273391895123,4.35799282696278
7,2025-01-08,0.34773165231513964,0.3920596967984853,0.20526609822372505,,0.2847830564782113,3.878563329287475,5.587686492783383,3.475841992964571,4.147140377900812,4.259042982356026,4.694963329311385
8,2025-01-09,0.18757829317463115,0.4049360962870414,,0.23227638110129095,0.36522875604800903,3.5788417464108586,5.929888002921544,2.8763622112499725,3.54721155936095,3.3914938405706923,
9,2025-01-10,0.2325467594963042,0.21756411096871806,0.2682925776732214,,0.2593798836807621,3.5548049892110196,5.917203269365499,2.608950850989006,3.544810799505757,,3.879022643690133
10,2025-01-11,0.16158001535449162,0.21781151538798993,0.3368649517755551,,,1.7975278875901985,,3.324402233419384,3.1965707680427355,3.8187634605429177,3.367705616668598
11,2025-01-12,0.07521275581091971,0.24876511917704897,0.24652222650560096,,0.2510865876173904,2.857249885493351,6.667934341670797,3.3196484633352106,3.973216922629996,4.3502821974048915,3.025431526173888
12,2025-01-13,0.0,0.2614450729326825,0.34480602518578846,0.11302149884087588,0.2674267799568806,3.653359883450622,6.54709259655019,4.209625206500414,3.6399126720046064,3.987603287119164,
13,2025-01-14,0.0,0.28193890805091687,0.300883089970242,0.10370890073400951,0.2784667569804358,4.187707919869203,6.517996856399256,4.268300929516292,3.2774471125125104,5.173644086577844,
14,2025-01-15,,0.40221276289415286,0.15894716408518064,0.19876459643944794,0.2988137096221518,,5.827875196701613,4.9588545766770835,0.6935328927984319,5.4158708091922145,4.763058999637637
